time,batt,c,heading,pitch,roll,T
2024-01-11 03:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.68
2024-01-11 03:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.68
2024-01-11 03:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.68
2024-01-11 03:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.68
2024-01-11 04:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.68
2024-01-11 04:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.68
2024-01-11 04:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 04:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.67
2024-01-11 04:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 04:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 05:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 05:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 05:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.67
2024-01-11 05:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 05:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 05:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 06:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.67
2024-01-11 06:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.67
2024-01-11 06:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 06:35:06,14.30,1509.6,80.3,-1.10,-0.50,16.66
2024-01-11 06:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 06:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 07:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 07:15:06,14.30,1509.6,80.3,-1.10,-0.50,16.66
2024-01-11 07:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 07:35:06,14.30,1509.6,80.3,-1.10,-0.50,16.66
2024-01-11 07:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 07:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.66
2024-01-11 08:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 08:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 08:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 08:35:06,14.30,1509.6,80.3,-1.10,-0.50,16.65
2024-01-11 08:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 08:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 09:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 09:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 09:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 09:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 09:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 09:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 10:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 10:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 10:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.65
2024-01-11 10:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 10:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 10:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 11:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 11:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 11:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 11:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 11:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 11:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 12:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.64
2024-01-11 12:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.64
2024-01-11 12:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 12:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 12:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 12:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 13:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 13:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 13:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 13:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 13:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 13:55:06,14.30,1509.6,80.2,-1.10,-0.49,16.63
2024-01-11 14:05:06,14.30,1509.6,80.2,-1.10,-0.49,16.63
2024-01-11 14:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.63
2024-01-11 14:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.63
2024-01-11 14:35:06,14.30,1509.6,80.2,-1.10,-0.49,16.63
2024-01-11 14:45:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 14:55:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 15:05:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 15:15:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 15:25:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 15:35:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 15:45:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 15:55:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 16:05:06,14.30,1509.6,80.2,-1.10,-0.50,16.62
2024-01-11 16:15:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 16:25:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 16:35:06,14.30,1509.6,80.2,-1.10,-0.49,16.62
2024-01-11 16:45:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 16:55:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 17:05:06,14.30,1509.6,80.2,-1.11,-0.49,16.61
2024-01-11 17:15:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 17:25:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 17:35:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 17:45:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 17:55:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 18:05:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 18:15:06,14.30,1509.6,80.2,-1.10,-0.49,16.61
2024-01-11 18:25:06,14.30,1509.6,80.2,-1.10,-0.49,16.60
2024-01-11 18:35:06,14.30,1509.6,80.2,-1.10,-0.49,16.60
