blk,umean,urms,vmean,vrms,wmean,corr,fbad,p
122,0.00654,0.27101,-0.00134,0.07847,0.00501,91.2,0.0042,9.271
123,-0.00182,0.27101,0.01439,0.07508,0.00529,94.5,0.0025,9.264
124,-0.00031,0.25725,0.02146,0.07458,0.00493,94.6,0.0008,9.275
125,-0.00004,0.26257,0.04211,0.07243,0.00044,93.5,0.0063,9.291
126,-0.00483,0.22967,0.04398,0.06923,0.00076,96.0,0.0000,9.315
127,-0.01322,0.21171,0.03882,0.07079,0.00222,95.9,0.0000,9.342
128,-0.00494,0.21355,0.03965,0.07238,0.00185,95.9,0.0000,9.378
129,-0.01126,0.20217,0.04184,0.06727,0.00226,96.8,0.0000,9.419
130,-0.00803,0.19743,0.05632,0.06539,0.00025,96.3,0.0000,9.468
131,-0.01496,0.18740,0.05911,0.06501,0.00020,96.1,0.0000,9.517
132,-0.00868,0.19340,0.06627,0.06740,0.00004,96.3,0.0000,9.567
133,0.00062,0.21181,0.06070,0.07034,-0.00069,96.0,0.0004,9.612
134,0.00413,0.19807,0.05587,0.07117,-0.00071,95.9,0.0004,9.652
135,0.00522,0.18868,0.05419,0.06645,-0.00112,96.6,0.0000,9.696
136,0.01943,0.19721,0.02710,0.06659,-0.00136,95.7,0.0000,9.730
137,0.02887,0.20457,0.01815,0.07094,-0.00094,95.6,0.0000,9.760
138,0.01662,0.20042,-0.00483,0.07173,0.00109,96.1,0.0000,9.771
139,0.01012,0.21277,-0.02520,0.07407,-0.00078,96.1,0.0004,9.783
140,0.00533,0.18981,-0.03556,0.06718,-0.00193,96.1,0.0000,9.779
141,0.01990,0.21376,-0.03435,0.06871,-0.00141,97.4,0.0000,9.761
142,-0.00655,0.20254,-0.02915,0.06923,-0.00023,97.0,0.0000,9.731
143,-0.01219,0.20196,-0.02099,0.06842,0.00234,96.8,0.0000,9.693
144,-0.04414,0.18859,-0.00550,0.06848,-0.00026,96.5,0.0000,9.651
145,-0.05963,0.18187,0.01433,0.06177,-0.00335,96.5,0.0000,9.591
146,-0.06073,0.18004,0.02309,0.06729,-0.00455,95.2,0.0000,9.521
147,-0.05712,0.19705,0.02805,0.06334,-0.00486,94.3,0.0000,9.450
148,-0.05250,0.19835,0.02911,0.06867,-0.00297,94.0,0.0029,9.372
149,-0.04933,0.17767,0.02811,0.06304,-0.00320,92.4,0.0004,9.287
150,-0.04208,0.18337,0.03000,0.06171,-0.00229,96.3,0.0000,9.203
151,-0.03936,0.21250,0.04741,0.06322,-0.00157,96.3,0.0000,9.124
152,-0.04171,0.18024,0.05556,0.06115,-0.00252,95.2,0.0000,9.050
153,-0.02678,0.20972,0.05615,0.06018,0.00101,95.8,0.0000,8.972
154,-0.02389,0.20411,0.06046,0.06167,0.00124,95.9,0.0000,8.905
155,-0.02479,0.20801,0.06373,0.06054,0.00073,95.6,0.0000,8.847
156,-0.00634,0.20692,0.06351,0.06045,0.00012,95.4,0.0000,8.801
157,-0.00859,0.20060,0.05972,0.05847,0.00028,94.6,0.0008,8.764
158,-0.01735,0.21218,0.04950,0.05629,0.00124,94.7,0.0000,8.743
159,0.00712,0.21875,0.03931,0.05986,-0.00098,94.7,0.0000,8.730
