time,urms_h,umean,vmean,T,P,frac_ok
23-Dec-2023 03:40:00,0.170400045718194,-0.0060987239014612,-0.0338345261523693,17.1714839516466,9.59051104626928,0.999583333333333
23-Dec-2023 04:00:00,0.189985899316364,0.0273501194029545,-0.0251384481004481,17.1794500000001,9.54600458333334,1
23-Dec-2023 04:20:00,0.182918140868188,0.0456510008907603,-0.0213375846369396,17.1867180984153,9.4994691409508,0.999166666666667
23-Dec-2023 04:40:00,0.197849369786893,0.0405399602076229,-0.0161152297191246,17.2011722987065,9.44875719649562,0.99875
23-Dec-2023 05:00:00,0.195017877908075,0.045199018239832,-0.0200548863548043,17.2119758232596,9.39822801167154,0.999583333333333
23-Dec-2023 05:20:00,0.187539938109583,0.0483795173963218,-0.017327059347244,17.2084576907044,9.34557190496039,0.999583333333333
23-Dec-2023 05:40:00,0.2000121612092,0.0582511268333938,-0.0183119644991553,17.2040933722385,9.29805335556482,0.999583333333333
23-Dec-2023 06:00:00,0.196089033747697,0.0522868057687489,-0.0139116781988817,17.1987077949146,9.25399541475615,0.999583333333333
23-Dec-2023 06:20:00,0.188942511335827,0.0335225881151949,-0.0204314104491433,17.2029929137138,9.22250020842017,0.999583333333333
23-Dec-2023 06:40:00,0.200108190687607,0.0129944344509493,-0.0329235235469187,17.2561888842459,9.19056330965315,0.997083333333333
23-Dec-2023 07:00:00,0.183452966026617,0.00895329837439875,-0.0391832822652406,17.285302013423,9.17106837248322,0.993333333333333
23-Dec-2023 07:20:00,0.162476779069209,-0.000187335219336997,-0.0475402962563247,17.2948891677122,9.16679924717691,0.99625
23-Dec-2023 07:40:00,0.167838281936661,-0.00581514824868407,-0.0504531303484721,17.3052297410193,9.17426190476191,0.9975
23-Dec-2023 08:00:00,0.161573063907885,-0.0132112262066619,-0.0524394288933674,17.3215416666666,9.20595208333333,1
23-Dec-2023 08:20:00,0.165850652235482,-0.0178019383267246,-0.0562978037381854,17.3383666666668,9.23942083333334,1
23-Dec-2023 08:40:00,0.176967860475832,-0.0184941062058714,-0.0538036916198052,17.3409083333334,9.29854500000001,1
23-Dec-2023 09:00:00,0.164880371398392,-0.0284458200599774,-0.0636021919544486,17.3459000000002,9.36141666666667,1
23-Dec-2023 09:20:00,0.178395752933387,-0.0293060532289903,-0.0624406068907932,17.3499083333335,9.43708291666667,1
23-Dec-2023 09:40:00,0.156577270828506,-0.0291841598784902,-0.0569338108134988,17.3484500000002,9.52047041666667,1
